Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","NH4.4SCTD","2025-05-27 08:15:00","Yes","G","Direct Dip","16.3","Overcast","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-05-27 08:30:00","","","","","","","","","","","Site ID:EL7.1EC",
"Ambient","SDWRF","NH3.3SC","2025-05-27 08:35:00","Yes","G","Direct Dip","15","Overcast","3","Yes","","","","Rain",
"Ambient","SDWRF","NH3.0NHC","2025-05-27 09:00:00","Yes","G","Direct Dip","14.5","Overcast","3","No","10","","","Staff Gage Out of Water",
"Ambient","SDWRF","NH2.3MC","2025-05-27 09:20:00","Yes","G","Direct Dip","14.3","Overcast","3","Yes","","","","Duplicate Site",
"Ambient","SDWRF","NH1.0SC","2025-05-27 09:50:00","Yes","G","Direct Dip","15.5","Overcast","3","Yes","","","","",
"Ambient","SDWRF","NH0.0NHC","2025-05-27 10:15:00","Yes","G","Direct Dip","14.8","Overcast","3","Yes","","","","",
"Ambient","SDWRF","CC2.5CC","2025-05-27 10:45:00","Yes","G","Direct Dip","14.5","Overcast","3","Yes","","","","",
"Ambient","SDWRF","EN13.3ER","2025-06-03 08:10:00","No","G","Direct Dip","16.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EN10.3WC","2025-06-03 08:35:00","No","G","Direct Dip","16.6","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-06-03 09:00:00","","","","","","","","","","","Site ID:EN8.9ER",
"Ambient","SDWRF","EN8.9ER","2025-06-03 09:10:00","No","G","Direct Dip","18.1","Sunny","3","Yes","","","","TOC Duplicate Site",
"Ambient","SDWRF","LR9.6LR","2025-06-03 09:40:00","No","G","Direct Dip","18.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EN4.9ER","2025-06-03 10:10:00","No","G","Direct Dip","19.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-06-03 10:40:00","","","","","","","","","","","Site ID: PN1.9PN Plastic Bottle Lot# 240814A Filter Lot# G24105",
"Ambient","SDWRF","PN1.9PN","2025-06-03 10:50:00","No","G","Direct Dip","25.2","Sunny","3","Yes","","","","Duplicate Site",
"Ambient","SDWRF","LL3.4LLC","2025-06-03 11:25:00","No","G","Direct Dip","22.1","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LL4.6LLT2","2025-06-03 11:50:00","No","G","Direct Dip","22.2","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EL8.6SECUT","2025-06-10 07:50:00","Yes","G","Direct Dip","24.2","Overcast","3","Yes","","","","",
